location,WinLoss,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF
road,W,37,79,7,10,15,18,9,49,19,8,7,15,17
home,W,41,80,10,19,25,33,14,51,28,7,3,16,19
home,W,33,87,6,17,32,43,15,53,18,8,5,15,25
road,W,33,85,8,22,32,45,15,54,14,12,9,12,17
road,W,42,79,9,17,18,23,14,50,26,13,10,18,19
home,W,42,95,2,13,20,26,20,48,16,13,5,15,19
home,W,32,78,6,16,23,28,9,40,20,11,4,9,19
road,L,40,95,4,19,11,16,16,43,24,8,5,11,30
road,W,46,98,5,15,19,25,14,43,27,16,11,15,24
home,W,42,90,10,21,11,14,9,41,25,6,5,7,19
road,W,41,84,6,22,16,20,13,43,22,12,9,14,20
road,W,45,87,8,14,20,28,14,46,28,11,3,17,16
road,W,44,87,8,21,24,37,12,51,24,10,4,9,23
road,W,47,96,6,20,14,15,17,45,23,8,9,10,8
road,W,47,92,4,18,14,16,15,54,34,10,3,19,18
home,L,39,76,6,19,33,45,8,41,18,10,5,16,23
home,W,43,74,6,13,22,27,9,41,24,7,4,16,18
home,W,37,74,10,20,22,31,11,38,25,8,4,15,18
road,W,34,70,5,14,32,41,14,49,23,12,4,25,25
home,L,35,87,9,24,22,26,15,43,22,4,7,16,23
road,W,40,82,8,24,27,35,12,43,30,11,5,14,20
road,W,42,84,7,15,21,35,10,46,23,7,4,11,24
road,W,38,85,5,15,17,19,9,46,26,8,7,10,17
road,W,45,95,6,23,20,25,15,49,30,9,5,11,17
home,L,35,74,7,16,10,19,10,40,16,7,1,21,23
home,L,36,87,7,21,24,25,10,40,14,8,2,9,30
home,W,40,74,6,15,19,27,9,37,24,9,6,13,18
home,W,33,75,6,15,28,32,11,39,17,7,6,11,21
road,W,36,78,8,20,12,15,7,35,27,6,9,11,18
road,W,47,91,10,22,26,32,16,47,33,12,4,16,27
road,W,39,85,3,17,32,42,12,46,22,10,6,10,18
road,W,33,67,8,20,26,33,7,41,18,7,5,13,24
road,L,36,86,16,34,17,22,12,39,24,4,2,12,25
home,W,41,91,5,19,27,29,15,51,22,7,5,16,16
road,W,44,78,5,16,28,37,8,34,28,7,2,13,21
road,W,37,83,9,17,25,31,17,53,26,6,3,17,16
home,W,41,81,5,11,18,24,9,34,22,4,4,7,14
home,L,47,83,9,16,8,11,8,32,20,9,2,11,14
road,L,37,93,9,26,20,27,12,40,19,7,3,11,24
road,W,44,84,10,24,7,15,17,45,27,9,7,15,17
home,W,43,86,5,21,17,23,17,46,25,5,9,13,16
road,W,45,84,8,19,19,23,13,41,35,8,4,13,18
road,W,32,69,7,17,28,32,6,43,20,8,8,18,16
road,L,43,99,7,22,17,23,11,42,19,4,9,12,26
home,W,48,95,10,27,26,33,19,53,23,5,7,12,25
home,W,44,82,4,16,23,28,12,38,18,8,3,14,19
home,W,44,84,7,16,31,36,13,52,25,6,8,16,23
home,W,45,89,7,17,18,23,10,45,25,6,7,4,20
home,W,42,88,9,22,17,29,12,42,21,12,3,11,24
home,W,43,88,3,20,12,16,12,42,25,7,5,6,16
road,W,45,99,5,20,10,17,16,56,21,7,4,13,18
home,L,42,90,5,19,20,26,13,39,18,10,2,13,28
road,W,42,96,7,21,5,10,28,67,30,6,9,23,23
home,W,46,92,9,21,28,33,18,43,33,10,4,14,17
road,W,38,92,7,21,32,38,12,53,26,5,3,10,22
home,W,43,82,5,13,20,27,4,36,32,12,3,15,20
home,W,41,78,7,15,18,23,3,30,21,10,3,11,21
road,W,54,94,9,20,15,20,14,49,38,13,7,16,22
home,L,28,94,2,21,21,27,22,53,14,7,1,14,28
home,L,42,94,8,26,19,20,15,43,19,12,4,15,32
road,W,40,90,4,16,15,21,18,44,28,13,13,10,21
road,W,41,84,8,19,20,26,6,41,23,8,13,4,21
home,L,36,82,8,24,14,16,11,38,22,6,4,13,25
home,W,43,86,2,11,14,20,11,36,17,15,4,12,18
home,W,43,83,4,9,12,15,11,42,17,9,6,11,14
road,W,42,80,8,22,15,22,14,49,22,8,8,16,22
road,L,37,74,7,18,12,15,10,43,28,5,5,18,19
road,W,45,90,8,16,16,20,11,50,24,8,7,22,21
home,W,45,91,11,21,16,28,14,39,22,16,3,10,24
home,W,43,86,5,13,16,17,9,41,24,10,4,13,17
home,W,35,77,6,18,16,19,7,39,24,8,1,13,17
home,W,41,87,7,21,14,19,11,37,29,11,5,11,17
home,L,28,80,4,20,16,23,15,50,14,7,7,14,15
home,L,38,97,4,14,4,6,18,42,22,8,4,10,21
home,W,34,72,5,13,31,36,10,41,15,13,3,20,20
road,W,34,86,7,18,18,21,11,42,20,11,4,10,21
road,W,33,78,5,20,17,29,9,38,21,7,3,10,24
home,W,47,92,6,19,22,29,12,50,21,11,4,6,15
road,W,37,87,5,24,37,46,18,51,21,9,2,11,25
home,L,38,85,7,18,15,20,14,39,19,2,1,11,31
road,W,38,84,3,15,13,16,9,47,20,13,4,10,21
road,W,48,86,8,13,21,24,7,30,39,11,8,16,31